id,name,link,image
132,The Momo Co.,https://www.zomato.com/bangalore/the-momo-co-hosur-road-bangalore/order,https://b.zmtcdn.com/data/pictures/2/19786592/fadba3618ff500083afce92ad6531085_o2_featured_v2.jpg
133,Raidan Restaurant,https://www.zomato.com/bangalore/raidan-restaurant-1-frazer-town-bangalore/order,
134,Chinese BAE,https://www.zomato.com/bangalore/chinese-bae-rt-nagar-bangalore/order,
135,ITC Aashirvaad Soul Creations,https://www.zomato.com/bangalore/itc-aashirvaad-soul-creations-commercial-street-bangalore/order,
136,Dawat Durbar,https://www.zomato.com/bangalore/dawat-durbar-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/8/19900128/ab1754036406c50f3cfdf8074fb7cdb2_o2_featured_v2.jpg
137,Hamza Hotel,https://www.zomato.com/bangalore/hamza-hotel-shivajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/1/52111/c1c4a64389151842e61abd1f9ad864ed_o2_featured_v2.jpg
138,Vaibhav Biryani,https://www.zomato.com/bangalore/vaibhav-biryani-rajajinagar-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/20379887/56c078a61e44f90e2df34e528f41eb6a_o2_featured_v2.jpg
139,Sardarji Londonwaley,https://www.zomato.com/bangalore/sardarji-londonwaley-koramangala-7th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/2/18718102/29cd9d7176f374102510ccddfac7e991_o2_featured_v2.jpg
140,Kirti Kitchen,https://www.zomato.com/bangalore/kirti-kitchen-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/9/19122399/5e9d9e4f275c883911c377e7ffbd3dc0_o2_featured_v2.jpg
141,Al Zara Mandi Arabian Restaurant,https://www.zomato.com/bangalore/al-zara-mandi-arabian-restaurant-frazer-town-bangalore/order,https://b.zmtcdn.com/data/pictures/9/19314149/c40a6b8d075b55813a190eda2f204eba_o2_featured_v2.jpg
142,Cupcake Bliss Cakes & Desserts,https://www.zomato.com/bangalore/cupcake-bliss-cakes-desserts-vasanth-nagar-bangalore/order,
143,Starbucks Coffee,https://www.zomato.com/bangalore/starbucks-coffee-lavelle-road-bangalore/order,
144,Kabab Magic Roll,https://www.zomato.com/bangalore/kabab-magic-roll-1-richmond-road-bangalore/order,
145,IDC Kitchen,https://www.zomato.com/bangalore/idc-kitchen-1-residency-road-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/8/60108/592bfddca0920a6f7c72ca8cd738bb06_o2_featured_v2.jpg
146,ITC Master Chef Creations,https://www.zomato.com/bangalore/itc-master-chef-creations-commercial-street-bangalore/order,https://b.zmtcdn.com/data/pictures/5/20709035/00af06f1f9e30b97843197f53b360d6a_o2_featured_v2.jpg
147,Simplee Shawarma,https://www.zomato.com/bangalore/simplee-shawarma-btm-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/3/19352693/23de7daa6eeac206a7ecd90752c54ea3_o2_featured_v2.jpg
148,Chaayos Chai+Snacks=Relax,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-1-koramangala-8th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/19184036/41012e7a6c9179c4bd5678111a7d5dd7_o2_featured_v2.jpg
149,Kabab King,https://www.zomato.com/bangalore/kabab-king-kumaraswamy-layout-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/7/61367/8615d93d35f826990e5497544823071f_o2_featured_v2.jpg
150,Louis Burger,https://www.zomato.com/bangalore/louis-burger-koramangala-7th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/chains/6/20196776/c9430e43c295a274f0a35dcbde09041c_o2_featured_v2.jpg
151,Aattutheeram Kerala Restaurant,https://www.zomato.com/bangalore/aattutheeram-kerala-restaurant-koramangala-5th-block-bangalore/order,https://b.zmtcdn.com/data/pictures/7/20951807/37cd5c9128271d71db7a8617a02293df_o2_featured_v2.jpg
